African Clawed Frogs	\N	\N	\N	\N	\N	These frogs will take many kinds of foods, live or not. Many owners are feeding floating reptile sticks with success. While these are relatively well balanced, feeding a variety of food is still a good idea. Items such as bloodworms, waxworms, earthworms, feeder fish such as guppies, brine shrimp, and dog and cat food can all be fed. In addition, a commercial food for clawed frogs can be purchased via mail order from companies such as Xenopus Express (http://www.xenopus.com/) (these frogs are used fairly extensively in research so are available along with supplies quite readily). As long as a balanced food is used as the basis for the diet, supplementation with vitamins and minerals is not necessary.  Feed the amount they will clear from the water in 10-15 minutes, daily. Some sources say fully grown frogs only need to feed 3-4 times a week. In general over feeding is more of a problem than under feeding, so you can feed daily and keep an eye on the body shape of your frog--if it seems to be getting overweight, then you can cut back a bit.  Clawed frogs often become quite tame over time, taking food directly from the fingers of their owners. They do sometimes accidentally nibble on the fingers, but lack teeth so this is not a big problem. These frogs are also lack tongues, and feed by stuffing food into their mouths with their front legs. They can be quite messy as a result!	\N	\N	\N	\N	\N	There are many variations in recommendations for tank size for these critters, but being a fairly large frog they will need a good sized tank. Approximately 10 gallons per frog is a good rule of thumb. The frogs are strictly aquatic and do not need a land area. However, the water should only be about 12 inches (30 cm) deep so that the frog will be able to easily reach the surface, as they must breathe oxygen at the surface (a minimum of 6 inches is recommended to allow the frog room to maneuver). A secure lid is also a must - these frogs are adept at propelling themselves out of the water and escaping, given the chance.	\N
African Pygmy Dormouse	A little pet that is becoming more popular as a pet is the dormouse, most commonly the African dormouse (Graphiurus murinus). These little rodents are also called the African dwarf dormice, African pygmy dormice, and sometimes even micro squirrels.  Dormice are small squirrel-like animal. Their body length is a mere 3-4 inches or so, and they have a bushy tail that is almost as long as their body. They are nocturnal and get quite active at night. African dormice have a life expectancy of around 5-6 years in captivity.  Dormice are social animals, and should be kept in groups of two or more. Same sex groups usually get along well, as long as they are raised together from a young age.  Dormice can be hand tamed, although regular interaction from an early age is is the best way to ensure a pet that enjoys handling. While they may not want to be held they will climb all over their humans. Using a favorite treat as bribery helps, too.	\N	\N	\N	\N	In the wild, dormice eat a variety of foods including nuts and seeds, fruit, birds eggs, and insects. A good variety seems to be the key to keeping dormice in captivity, although specific feeding recommendations vary by reference.  The main groups of foods to be included in the diet are a seed mix (such as that made for hamsters or other small rodents, with sunflower seeds or raw peanuts added), fruits and vegetables, and protein sources such as hard boiled egg, feeder insects (mealworms, crickets), cooked chicken, and yogurt. The seed mix can be fed daily, but make sure the dormice do not fill up on seeds and nuts and refuse other essential parts of the diet. Fruits and vegetables can be fresh, frozen or dried. Fresh foods can be offered in the evening and any uneaten bits removed the next morning to prevent spoilage.  Different references I have read make different recommendations for feeding - from whether or not seeds should be offered in unlimited quantities to how often fruits/vegetables and protein foods should be fed. I do not have any personal experience with these animals, but in general as varied a diet as possible is often the best way to prevent pets from becoming fussy eaters and maintaining a healthy balance. Therefore, I\'d recommend feeding a variety of foods from each group (seeds/nuts, fruits and vegetables, and proteins) on a daily basis.	\N	\N	\N	\N	\N	These little creatures are excellent escape artists and can sneak through a very small opening. The best type of housing is a glass tank with a tight fitting, fine mesh top. During their active times they will get to the top of the cage, so make sure the top is secure! A 10 gallon tank will house 2 dormice adequately, although being active animals they will appreciate the additional room of a 20 gallon tank. If keeping more than two, a larger tank is a necessity.  The tank should be lined with a relatively thick layer of bedding such as a recycled paper bedding product or aspen shavings. Two inches provides a nice absorbent layer.  Because they naturally spend a lot of time in trees, branches should be provided for climbing. Ropes (suspend from cage top) and other wooden toys make a nice variety of opportunities for climbing and play. Also, a small rodent wheel can be provided for exercise (mouse sized). A solid surface wheel is a good choice to reduce the chance of their feet or tail getting caught.  Nest boxes are also necessary, to give the dormice a sense of security. Commercial small animal nest boxes can be purchased, or can be improvised. Cardboard tubes can be provided for hiding and play time.  A couple of heavy ceramic dishes can be provided for feeding. Most dormice will readily eat from dishes on the ground, but if necessary you can also hang a small dish or wicker basket from a branch for feeding. A small water bottle can be used, but the water should be changed regularly.  Dormice need to be kept at 70 F or above - at cooler temperatures (i.e. below around 65 F) they may begin to hibernate. In a captive animal that is not prepared, hibernation can be dangerous.	\N
African Fat Tailed Geckos	\N	\N	Fat tailed geckos show two main patterns -- one with a white stripe down back, and one without. They come in several colours, with dark and light brown being most common. The most notable feature is the large, thick tail (used for fat storage).	Care Sheets: African Fat-Tailed Geckos (http://www.paulfirlotte.com/fattail.html) --  Paul Firlotte; Fat-Tailed Geckos (http://www.anapsid.org/fattailgecko.html) -- Ron Hatcher.	African Fat-Tailed Geckos (http://www.paulfirlotte.com/fattail.html) --  Paul Firlotte; Fat-Tailed Geckos (http://www.anapsid.org/fattailgecko.html) -- Ron Hatcher.	Fat tailed geckos can be fed primarily on crickets and mealworms, although adults can be offered the occasional superworm or waxworm. Prey should be always be gut loaded prior to feeding, and dusted with a vitamin supplement containing calcium. Adults can be fed every 2-3 day, and juveniels every 1-2 days. Provide a shallow dish with water as well.	\N	Fat tailed geckos are nocturnal. They are usually quite docile though they can be shy. Never house males together.	\N	\N	\N	\N	should be quite high (over 50\\%) and maintained by misting several times a week and providing a shallow water dish at all times. A humidity retreat is also a good idea (e.g. a small container with damp spaghum moss inside).
African Pygmy Hedgehog	The hedgehogs commonly kept as pets in North America appear to by a mix of species, originally native to Africa. The term \"African Pygmy Hedgehog\" is a descriptive term (coined by breeders), rather than a true species name.They are considered primarily insectivores (insects make up the largest part of their natural diet).Their backs are covered with rows of short prickly spines and their bellies are covered with soft fur. When threatened, they roll in to a tight ball with just a mass of spines poking out. When relaxed, the spines lay almost flat.Thanks to selective breeding, hedgehogs are now available in a huge array of color variations (http://www.hedgehogclub.com/colorguide.html).They are quite compact, reaching a size of around 5-8 inches in length.Estimates of expected life span vary widely, anywhere from 3-8 years, although 4-6 years is probably most typical.Illegal in some areas.Fairly low maintenance pets, and while they don\'t mind handling once used to it they don\'t really seem to \"crave\" human interaction.| It is best to locate a reputable breeder who breeds for good temperament and makes sure young hedgehogs are handled regularly.Getting a young hedgehog (6-8 weeks) is the best way to make sure your hedgehog will get used to being handled.If possible, try to pick up the hedgehog to gauge its reaction - try to choose one that will allow itself to be picked up and maybe even turned on its back without rolling into a tight ball and staying there.Look for bright eyes, clear nostrils, and healthy looking skin, quills and fur. Watch out for flaky skin, missing quills, discharge around the eyes or nose, or evidence of diarrhea. Also make sure the hedgehog is in good body condition - neither too thin nor overweight (a good place to check is around the legs - watch out for rolls of fat as obesity is a common problem).Males and females generally are equally good pets.Plan on only one hedgehog to a cage. Most hedgehogs are perfectly happy to be kept alone and in fact often fight if kept with other hedgehogs.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
African Spurred Tortoise	\N	\N	\N	\N	\N	Sulcata tortoises are herbivorous, grazing tortoises and need a high fiber/low protein diet, provided with a variety of grasses and hays (at least 75\\% of diet) along with some edible weeds and flowers (dandelions, clover, endive, edible flowers, weeds, cactus pads). Small amounts of other leafy green vegetables are probably okay, but avoid foods high in oxalates (spinach, mustard and beet greens, kale, broccoli, and cauliflower). Do not feed fruits, animal protein, or tortoise foods.	\N	\N	\N	\N	\N	Outdoors, these large turtles need a sturdy fence and since they burrow the fence should be extended underground. Shelter in the form of a doghouse or small shed will provide protection from the elements. Building a heated shed will provide a suitable shelter for colder weather. Daytime temperatures can be up to 100 F (37 C), but they should have a heated shelter if the night time temperature drops below 70 F (21 C). A shallow pan of water should be provided, and a muddy wallow may be used as well.  Indoors, with the size of these turtles, housing adults indoors gets a bit impractical. An outdoor heateed shed or greenhouse where they can live when it is cooler is sometimes a better option. Temperatures should be maintained at 80-90 F (27-32) during the day, dropping as low as 72 F (22C) at night. In addition, a basking spot should be provided at 95 F (35 C). A UVA/UVB light is also necessary when housed indoors. A pan of water should be provided.	\N
Alpacas	In the article \"Llamas as Companion Animals,\" the characteristics and uses of the llama were discussed. This time we\'ll take a look at its smaller relative, the alpaca. Again, these are on a fine line between livestock and pets, but they have good components and shows are becoming more popular.  Nevertheless, they are best suited to farms and acreages as a decent facility and pasture will be needed.  Alpacas are members of the camel family, along with llamas, vicunas,guanacos, and camels. They arose in South America through selective breeding (although it is believed that, as with other camelids, their distant ancestors migrated from North America), and are quite close in size and fiber type to the wild vicuna. They are quite a bit smaller than llamas, and have a gentle, curious disposition. Their fibre is very fine, soft, and highly valued by the textile trade. There are two types of alpacas with very different fleece appearances; the huacaya,whose fibre is very soft and crimped appearing puffy, and the suri (http://www.bonnydoonalpacas.org/suri.html),which has straight fibre that falls from the body and ends up in curls that give the appearance of dreadlocks. Both types of fleece are valued, although the suri type is much less common (estimated less than10\\% of the world\'s alpaca population). The fleece, in addition to being extremely soft, is also estimated to be 5 times warmer than wool,and is very light.  Although the primary domestic use for the alpaca is it\'s fibre, they are increasingly popular as companion and show animals. Since they are much less common than llamas, they are harder to find and a little more expensive. However, there are a number alpaca qualities that make them suitable for those who want a few primarily as companion animals.They are quite a bit smaller than llamas, standing only about two and half to three feet at the shoulder, and weighing in at 100-190 lbs.(llamas are more like 250-400 lbs.), which makes them a little more manageable.Their disposition is much like llamas. They have a calm, gentle and predictable personality. They will tend to spit at each other if disgruntled about something, but will rarely spit at a human. Aggressive behavior is rare (watch for foot stomping and kicking). They can be taught to lead on a halter and other simple commands. They are sociable, so you will need to have more than one. By nature they are pack animals and will huddle together if nervous or frightened.They produce several vocalizations but the one most owners find most charming is their humming - in different tones for different situations.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Alpacas are hardy animals, and do well in most climates. A decent,well fenced pasture will be necessary, as well as some sort of shelter.A good quality, relatively low protein forage, with some supplementation will take care of dietary needs (it is best to have locally available feed analyzed for nutrient content and supplement accordingly). Routine veterinary care and maintenance such as nail trimming, tooth care, and shearing will also be necessary. Otherwise, these are fairly easy animals to look after.	\N
American Green Tree Frogs	\N	\N	\N	A minimum 10 gallon tank is suitable as a cage for green tree frogs, although larger is fine.Keep in mind they are arboreal, so the height of the cage is more important than the floor space, so a tall tank is best.Need a secure cover to prevent escape (mesh or wire is fine).	\N	Green tree frogs are generally good eaters and feed exclusively on insects.Crickets can make up the bulk of the diet.Crickets and other food insects should be gut loaded (fed nutritious foods before feeding them to the frogs). For more on dealing with crickets as prey see \"Raising Crickets for Food.\"In addition to gut loading, the crickets should be dusted with a calcium and multivitamin supplement a couple of times a week.Fruit flies, houseflies, moths and other insects can also be fed if available.Tree frogs will likely eat more in the spring and summer months than in the winter. Smaller frogs should be fed daily, while larger frogs can be fed daily or every other day, using body condition as a guide (i.e. if getting obese, cut down the feedings).	opportunity for climbing is very important, so provide a variety of branches and live or artificial plants for climbing. Live plants to consider include philodendrons or sturdy ferns. Ensure any wood collected from the outdoors is pesticide free, and collected wood must be treated (http://www.anapsid.org/wildwood.html) to remove harmful bacteria or bugs.  Driftwood and cork bark also make good cage furnishings.	\N	\N	\N	\N	\N	\N
Anoles	Sometimes also called American chameleons, although they are not true chameleons. They can do a color change from green to brown, especially when stressed.Quite readily available in the pet trade.Life span averages around 4 years, although they can live longer (up to 8 or more years if well cared for).Adult length of around 8 inches (including tail) in captivity (typically slightly larger in the wild).Males are larger than females and have a large dewlap (flap of skin) on the throat that is used in behavioral displays.Usually inexpensive to buy an anole, but the equipment needed to set up a proper tank is quite costly.Reasonably easy to care for if you can set up a proper tank.Can be very stressed by handling, and can drop their tails if grabbed by the tail.	\N	\N	\N	\N	Anoles are insectivores and are generally good eaters.While crickets can be the main part of the diet, it is best to feed a variety of insects. Wild caught insects can be offered as well, if pesticide free.Crickets must be gut loaded with nutritious food prior to feeding. See \"Raising Crickets for Food.\"Feed appropriate sized prey items - about 1/2 the size of the anole\'s head is a good guideline.Can usually feed every other day, and 2-3 appropriately sized items per feeding.Crickets and other prey should be dusted with a quality vitamin/mineral supplement.	Live plants help maintain humidity and provide cover - try Sansevierias (snake plants), bromeliads, philodendrons, ivy, orchids and vines.  Pieces of bark and branches should also be provided for climbing and basking.	\N	\N	\N	\N	Anoles can be housed in a fairly small tank - a 10 gallon is sufficient for a single anole, or perhaps a pair. Larger is better, and if housing multiple anoles, lots of space is necessary. You should only keep one male anole per tank. Females will get along fine, as long as the tank is roomy enough and there plenty of basking spots and places to hide. A secure fitted lid is necessary.	a humidity level of 60-70\\% is necessary for anoles. This can usually be achieved by misting the inside of the tank daily. It is a good idea to measure the humidity level to make sure it is adequate for anoles. Misting systems are available although they are quite expensive. If you are having a hard time maintaining the humidity level, try covering part of the top of the tank and/or increasing the number of live plants. Misting also provides drinking water for the anoles as they often will not drink from a bowl (they will lick droplets of water off the misted plants).
Axolotls	The Axolotl may not a common pet, but it is very unique. The axolotl is a type of salamander, native to Mexico. The common pet or laboratory Axolotl refers exclusively to A. mexicanum, although in Mexico the term Axolotl is used in reference to several species of Ambystoma,and is considered an edible food source!  The Axolotl is neotenic, meaning that it doesn\'t routinely undergo metamorphosis from the larval to adult form, as happens with most other salamanders.Instead, the larval form (with gills) becomes sexually mature and reproduces,maintaining a strictly aquatic life style. Under some circumstances,the Axolotl can undergo metamorphosis into a terrestrial from, although this can be stressful on the animal.  The Axolotl has amazing regenerative abilities - if injured, even to the point of losing a body part, the Axolotl will heal readily and even regenerate lost bits. They are fairly hardy creatures that can be expected to live up to 10-15 years with attention to proper care, particularly with respect to water quality. Their skin and gills are very sensitive and quite soft, so handling is not recommended.  Juvenile axolotls can be cannibalistic towards each other, so they are best raise din separate enclosures. Adults can potentially be housed together but watch for cannibalistic tendencies. Of course, if a body part gets bitten off by a tank mate, an axolotl can regenerate it over time.	\N	\N	\N	\N	In the wild, axolotls feed on snails, worms, crustaceans, small fish, and small amphibians.In captivity, they can be fed brine shrimp, small strips of beef or liver,earthworms (wild caught worms can carry parasites), bloodworms, tubifex worms, or commercial fish pellets (e.g. salmon or trout pellets). If feeding these fresh items it is best to feed a variety to get a better balance in the diet. You can also get special axolotl feeding pellets from the Indiana University Axolotl Colony (http://bigapple.uky.edu/~axolotl/food.htm). Uneaten food should be cleaned from the tank daily.  Terrestrial Axolotls: Axolotls do occasionally undergo metamorphosis to take on the terrestrial form. The conditions under which this would happen naturally is poorly understood. They can be induced using changes in water characteristics,or by supplementing with certain proportions of thyroid hormone.Of course the terrestrial form of the axolotl has a completely different set of care requirements. Trying to induce metamorphosis is not recommended,as this can place undue stress on the creature, and can significantly shorten its life span.  Axolotls are used fairly extensively in laboratory settings, primarily to study their regenerative capabilities, and are relatively easy to breed in captivity. Unfortunately, wild axolotls are now considered critically endangered,suffering from the effects of shrinking habitat, exploitation, pollution, and introduction of non-native predators.	\N	\N	\N	\N	\N	\N	\N
Ball Pythons	The ball python is a good snake for a beginning snake owner. Growing to a maximum size of 3-5 feet, ball pythons are not as large as many of the other constricting snakes that are kept as pets, and are quite docile and easy to handle. A captive bred ball python usually flourishes given the proper care.  Ball pythons are so named because when threatened they roll themselves into a tight ball, tucking their head inside their coils.  Ball pythons are somewhat notorious for refusing to feed, but many believe that is a much larger problem with wild caught specimens. In addition, wild caught snakes tend to be very stressed from capture and transport and often harbor a large parasite load. Captive bred snakes tend to be more expensive and sometimes harder to find, but they are well worth the extra cost.	\N	Look for a young, captive bred snake - you may have to find a breeder for this. Choose a snake that has a well rounded body, clean eyes and vent, and that shows no signs of respiratory problems (wheezing, bubbles around nostrils). Look for one that is alert and curious and gently grips your hand/arms when handled (they may be skittish but should calm after handling for a bit). It is not a bad idea to ask for a feeding demonstration to be sure the snake readily takes a meal.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
