African Clawed Frogs	suitable for beginners.	up to 15 years, perhaps longer.	strictly aquatic.	\N	These frogs are in the same family but different genus than the dwarf African frog, Hymenochirus boettgeri which has become very popular in recent years. However, the care of dwarf frogs is similar (on a smaller scale).	\N	4-5 inches (10-13 cm).	A gravel substrate can be used, but small gravel should be avoided to prevent accidental ingestion of the substrate. Rocks, wood, and flower pots can be used to decorate the tank and provide hiding places (frogs with no place to hide may be stressed). Artificial plants can also be used, but the frogs will dig up and generally destroy live plants.	\N	\N	\N	The tank can be kept at room temperature - 68-75 F (20-24 C). No special lighting is required (indirect lighting is fine and may be preferred). A 12 hour light:12 hour dark light cycle can be used.	The issue of filtration is somewhat controversial. The frogs have a sensory system (lateral line) that allows them to sense vibrations in the water, so some experts believe that using filters provides constant stressful stimuli to the frog (compared to a human constantly being exposed to the noise from a jackhammer). However, gentle filtration is used by some owners with success, and this will keep the water a lot cleaner. These frogs live in stagnant water in the wild, but that is not the same as dirty water in an aquarium. If no filtration is used, the water should be nearly fully changed every week, if not more often.
African Pygmy Dormouse	\N	\N	\N	\N	African Dormouse (http://www.centralpets.com/animals/mammals/rodents/rod3462.html) from Central PetsThe African Pygmy Dormouse (http://www.geocities.com/pygmydormouse/index.htm) from Mark Bond	\N	\N	\N	\N	\N	\N	\N	\N
African Fat Tailed Geckos	\N	Fat tailed geckos can live for up to 15 years, possible more.	\N	\N	\N	\N	Fat tailed geckos reach a length of 8-10 inches.	Orchid bark, cypress mulch, coconut fiber bedding, or peat moss can be used for a substrate and will help maintain humidity. Hides, logs, cork bark pieces, rocks, and plants should be provided for fat tailed geckos.	\N	A 10 gallon tank is probably sufficient for a single fat tailed gecko, but larger is better. Hides, logs, cork bark pieces, rocks, and plants can be provided.	\N	The daytime temperature gradient should be around 80-90 F (27-32 C) but can drop to 75-80 F (24-27 C) at night. Undertank heating is preferred, although a heat lamp (a nocturnal bulb works well) can be used as well if needed. No UV lighting is necessary.	\N
African Pygmy Hedgehog	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
African Spurred Tortoise	\N	Sulcata tortoises can live 80-100 years, perhaps longer.	\N	\N	Do not hibernate. Also, make sure there is nothing that the tortoise can climb on (steep surfaces, steps, etc.) and tip over onto its back. If they end up on their back when you are not around to rescue them, it is possible they will die.	\N	Sulcata tortoise are very large, reaching an adult length of 24-30 inches and weighing in at 80-110 pounds.	\N	Supplementation with calcium/Vitamin D3 is recommended.	\N	\N	\N	\N
Alpacas	\N	\N	\N	\N	Alpaca.com (http://www.alpaca.com/) - information on the alpaca, alpaca fibre, breeders, a store, as well as paid subscriptions(newsletter and members only area).Bonny Doon Alpacas (http://www.bonnydoonalpacas.org/)- this California ranch\'s site features loads of information as well as alpacas for sale and other services.	\N	\N	\N	\N	\N	\N	\N	\N
American Green Tree Frogs	\N	\N	\N	American green tree frogs are strictly nocturnal, so no supplemental UVA/UVB light is strictly required. Some people believe some supplemental fluorescent UV light is beneficial, as long as it is neither too bright or used more than a few hours a day.	Green with a light stripe from the side of the head down flanks. Quite readily available in the pet trade. At about 1.5 to 2.5 inches (4-6 cm) fully grown, the American tree frog can be kept in a fairly small cage.Although susceptible to stress (especially from shipping), they are fairly hardy if a healthy frog is found. Suitable for beginning pet frog owners.	\N	\N	can use a variety of materials, such as gravel (should be smooth), cypress mulch, or soil with peat/vermiculite (just be sure the frog is not ingesting substrate while feeding). Some people use indoor/outdoor carpeting.  The substrate can largely be covered with moss and cork bark.	\N	\N	\N	From 68-77F (20-25C) with a night time drop of a few degrees is sufficient for summer, and a slightly cooler temperature gradient can be provided in the winter months. A combination of under tank heating and/or a low wattage basking light or heat element (placed outside of the tank to prevent burns if the frog tried to jump on the light) works well. Make sure the appropriate temperature gradient is provided by measuring temperatures in various spots around the tank.	provide a large shallow sturdy water dish with dechlorinated water (must be shallow since these frogs are not good swimmers). The cage should also be misted with dechlorinated water daily to maintain humidity.More tips on setting up an arboreal cage can be found on the Frogland site (http://allaboutfrogs.org/info/housing/arbtank.html).
Anoles	\N	\N	\N	in addition to the incandescent basking light, provide a full spectrum UVA/UVB light for 10-12 hours per day.	\"The General Care and Maintenance of Green Anoles\" by Phillipe De Vosjoli	\N	\N	A substrate of peat moss and soil with or without a layer of bark (e.g. orchid bark) is an ideal substrate for anoles.	\N	\N	\N	during the day, provide a gradient from 75-80 F (24-27 C) with a basking spot of 85-90 F (29-32 C). A combination of under tank heating and a basking light on one side of the tank works well. Make sure the appropriate temperature gradient is provided by measuring temperatures in various spots around the tank. Night temperature can drop to a gradient of 65-75 F (18-24 C).  Do not use basking lights to achieve night time temperatures - use heating pads and/or ceramic heating elements.	\N
Axolotls	\N	\N	\N	No special lighting is required, and in fact a place to get out of the light may be appreciated, such as a half flowerpot or aquarium type castle.	For more detailed information on Axolotls, there are several good resources on the Web.Axolotls (http://www.axolotl.org/), Christen\'s Axolotl Homepage (http://www.geocities.com/Yosemite/4301/calixto.htm) The Short Guide to Axolotl Husbandry (by Susan T. Du hon) (http://www.ambystoma.org/AGSC/guide.htm)	\N	\N	If gravel is used on the bottom of the tank it needs to be coarse gravel. Fine gravel might be ingested during feeding. Some keepers simply leave the bottom of the tank bare, although others believe this may stress the axolotls a bit since they can\'t get a foothold on the bottom that way.	\N	Axolotls can get quite large, so I would recommend at least a 15-20 gallon tank, although the tank doesn\'t have to be full - just deeper than the full length of the axolotl. Most owners will find a filtered aquarium easier to maintain; without a filter their water will need frequent changing. However, the filtration rate should be fairly slow and avoid powerful filters that create strong currents. The filter intake should not be in a position to trap the gills. A siphon can be used to vacuum the bottom of the tank, and a 20 percent water change should be done weekly. If you are not using a filter, you will have to do a 20\\% water change every day or every other day. Never do a full water change as this creates a situation where the water chemistry changes too drastically.	\N	The tank should be kept in a cool room away from bright sunlight. The water temperature should be kept cool,between 57-68 F (14-20 C), and never above 75 F (24 C).	should not have any chlorine or chloramines (added during the water treatment process) removed using commercially available solutions. Never use distilled water. The pH of the water should be 6.5-7.5.
Ball Pythons	\N	20-30 years average, with proper care up to about 50 years	\N	\N	If you already have a constricting snake at home, any new python (or boa) should be quarantined due to the risk of inclusion body disease. Experts vary on the length of quarantine, but 3-6 months is not extreme. In addition, a vet check is in order, especially for internal (take a recent stool sample) and external parasites.	\N	Young ball pythons grow about a foot a year for three years.	\N	\N	\N	\N	\N	\N
Bearded Dragons	\N	10 years	\N	\N	\N	\N	18-24 inches (reached by about 2 years of age),	\N	\N	a good sized tank/cage will be required.	\N	\N	\N
Blue Tongued Skinks	\N	\N	\N	in addition to the incandescent basking light, provide a full spectrum UVA/UVB light for 10-12 hours per day.	\N	\N	\N	aspen wood shavings, cypress mulch, or even newspaper. Make sure they are not ingesting wood substrates.	\N	\N	\N	gradient from 75-85 F (24-29 C) with a basking spot of 95 F (35 C).  A combination of undertank heating and a basking light on one side of the tank works well. Make sure the appropriate temperature gradient is provided by measuring temperatures in various spots around the tank. Night temperature can drop to about 70 F (21 C).	provide a large shallow sturdy water dish. Skinks like to bathe in their water but often defecate there so frequent cleaning is required for the water dish.
Boa Constrictor	\N	25-20 years	\N	\N	When choosing a boa constrictor, look for the following signs of a healthy snake; alert firm, muscular body, no loose fold of skin, tongue fliking, eyes clear, no signs of retained shed (check eyes, end of tail), no visible external parasites, clean vent, scales healthy, no brown or curled edges, no wounds on skin, reacts to handling by coiling firmly (but gently) on hand/arm, and relaxing a bit after a while.	\N	\N	\N	\N	\N	\N	\N	\N
Burmese Python	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Chinese Water Dragon	\N	\N	\N	\N	For a very thorough discussion of water dragon care, see Tricia\'s Water Dragon Care Page (http://www.triciaswaterdragon.com/dragoncr.htm)	\N	\N	\N	Use a calcium/vitamin D3 supplement on the food at every other feeding, and a complete vitamin/mineral supplement once a week.	\N	\N	\N	\N
Corn Snake	\N	around 15-20 years, sometimes longer.	\N	\N	Choosing a snake: A captive bred specimen is the best choice and shouldn\'t be too difficult to find since corn snakes breed fairly readily in captivity. Look for a snake that is well fleshed with clear eyes, no cuts or scrapes, no signs of mites or ticks, a clean vent, and one that is alert and flicking its tongue.	\N	corn snakes reach a mature size of 3-5 feet (occasionally up to 6 feet)	\N	\N	\N	\N	\N	\N
Crested Geckos	\N	Crested Geckos are expected to live 10-20 years or so, though they are relatively new to the reptile hobby so this is a bit uncertain.	\N	Crested geckos are nocturnal so do not need special UV lighting. However, some experts feel providing low levels of UV lighting is still beneficial to their overall health (one must make sure the enclosure does not overheat and that the geckos can hide from the light if desired). A red night time bulb allows viewing when they are most active as well as providing some heat.	Crested geckos were once thought to be extinct, but were \"rediscovered\" around 1994. Since then there popularity as pets has continually increased.Crested geckos usually have fairly docile temperaments, though they can be a bit skittish and care is required when handling as they may try to jump from your grip and be injured. Also, crested geckos may drop their tails if handled roughly or to attempt to get away, but unlike other geckos they will not regenerate their tails.	\N	\N	The substrate for crested geckos should be something that retains moisture to aid in humidity levels, such as coconut fiber bedding, moss, or peat, though paper or paper towels can be used as well. Crested geckos are somewhat prone to ingesting substrate while hunting; if this is the case for yours, use moss (either alone or over another substrate like coconut fiber) or paper towels. Paper towels are recommended for juveniles as they are more likely to accidentally swallow substrate.	\N	\N	\N	A daytime temperature gradient of 72-80 F (22-26.5 C) should be provided for crested geckos, with a drop at night time to 65-75 F (18-24 C).  Crested geckos get stressed at higher temperatures. A low wattage red night-time bulb makes a good heat source. Do not rest a heat source right the top of the tank, as these climbing geckos could get too close and burns could result.	\N
Degu	\N	\N	\N	\N	Never grab or try to pick up a degu by the tail. They can easily lose part of their tail and have a messy injury as a result. Shedding their tail is probably a natural defense of wild degus to escape if caught by the tail.	\N	\N	\N	\N	\N	\N	\N	Make sure you change the water in their bottles regularly - they often do not drink a lot but it is important that they have a supply of fresh clean water available at all times.
